,name,name_en
0,Andorra,Andorra
1,Slovensko,Slovakia
2,Österreich,Austria
3,Magyarország,Hungary
4,საქართველო,Georgia
5,Civitas Vaticana - Città del Vaticano,Vatican City
6,Polska,Poland
7,ព្រះរាជាណាចក្រ​កម្ពុជា,Cambodia
8,ປະເທດລາວ,Laos
9,Việt Nam,Vietnam
10,Danmark,Denmark
11,မြန်မာ,Myanmar
12,Deutschland,Germany
13,Česko,Czechia
14,Schweiz/Suisse/Svizzera/Svizra,Switzerland
15,België / Belgique / Belgien,Belgium
16,Sverige,Sweden
17,Føroyar,Faroe Islands
18,Shqipëria,Albania
19,Северна Македонија,North Macedonia
20,Crna Gora / Црна Гора,Montenegro
21,Suomi / Finland,Finland
22,San Marino,San Marino
23,Moldova,Moldova
24,Беларусь,Belarus
25,Brasil,Brazil
26,Россия,Russia
27,Україна,Ukraine
28,United Kingdom,United Kingdom
29,Isle of Man,Isle of Man
30,Éire / Ireland,Ireland
31,Latvija,Latvia
32,Lietuva,Lithuania
33,Eesti,Estonia
34,Australia,Australia
35,South Africa,South Africa
36,eSwatini,Eswatini
37,France - Monaco,France - Monaco
38,România,Romania
39,Ecuador,Ecuador
40,México,Mexico
41,Colombia,Colombia
42,United States,United States
43,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,Mongolia
44,Chile,Chile
45,Rwanda,Rwanda
46,Türkiye,Turkey
47,Кыргызстан,Kyrgyzstan
48,འབྲུགཡུལ་,Bhutan
49,नेपाल,Nepal
50,বাংলাদেশ,Bangladesh
51,الأردن,Jordan
52,سوريا,Syria
53,لبنان,Lebanon
54,България,Bulgaria
55,Ελλάς,Greece
56,조선민주주의인민공화국,North Korea
57,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algeria
58,تونس,Tunisia
59,ليبيا,Libya
60,موريتانيا,Mauritania
61,Gambia,The Gambia
62,Sénégal,Senegal
63,Guiné-Bissau,Guinea-Bissau
64,Sierra Leone,Sierra Leone
65,Guinée,Guinea
66,Côte d’Ivoire,Côte d'Ivoire
67,Liberia,Liberia
68,Ghana,Ghana
69,Togo,Togo
70,Burkina Faso,Burkina Faso
71,Bénin,Benin
72,Mali,Mali
73,Niger,Niger
74,Nigeria,Nigeria
75,السودان,Sudan
76,Ködörösêse tî Bêafrîka / République centrafricaine,Central African Republic
77,Guinea Ecuatorial,Equatorial Guinea
78,Gabon,Gabon
79,Congo,Congo-Brazzaville
80,République démocratique du Congo,Democratic Republic of the Congo
81,Uganda,Uganda
82,Kenya,Kenya
83,Soomaaliya الصومال,Somalia
84,ኢትዮጵያ,Ethiopia
85,Djibouti جيبوتي,Djibouti
86,Cameroun,Cameroon
87,Namibia,Namibia
88,Angola,Angola
89,Burundi,Burundi
90,Tanzania,Tanzania
91,Zambia,Zambia
92,Zimbabwe,Zimbabwe
93,Moçambique,Mozambique
94,Malawi,Malawi
95,Oʻzbekiston,Uzbekistan
96,Тоҷикистон,Tajikistan
97,Қазақстан,Kazakhstan
98,Hrvatska,Croatia
99,Slovenija,Slovenia
100,Türkmenistan,Turkmenistan
101,Bolivia,Bolivia
102,Guernsey,Guernsey
103,中国,China
104,Venezuela,Venezuela
105,British Virgin Islands,British Virgin Islands
106,Argentina,Argentina
107,Uruguay,Uruguay
108,Suriname,Suriname
109,Guyana,Guyana
110,Nicaragua,Nicaragua
111,Costa Rica,Costa Rica
112,Panamá,Panama
113,Honduras,Honduras
114,Belize,Belize
115,Perú,Peru
116,Portugal,Portugal
117,ኤርትራ Eritrea إرتريا,Eritrea
118,Ísland,Iceland
119,افغانستان,Afghanistan
120,India,India
121,Indonesia,Indonesia
122,العراق,Iraq
123,ایران,Iran
124,اليمن,Yemen
125,قطر,Qatar
