,name,name_en,LV3_regions,LV4_regions,LV5_regions,LV6_regions,LV7_regions,LV8_regions,LV9_regions,LV10_regions,LV11_regions
0,Andorra,Andorra,0,0,0,0,7,0,0,0,0
1,Slovensko,Slovakia,3,8,0,2,0,79,2939,3740,78
2,Österreich,Austria,0,9,0,93,2,2077,79,411,0
3,Magyarország,Hungary,0,3,7,20,174,3155,23,266,11
4,საქართველო,Georgia,2,13,0,235,0,692,0,38,0
5,Civitas Vaticana - Città del Vaticano,Vatican City,0,0,0,0,0,0,0,0,0
6,Polska,Poland,0,16,1,380,2476,25462,1507,1068,1006
7,ព្រះរាជាណាចក្រ​កម្ពុជា,Cambodia,0,25,0,72,0,11,0,0,0
8,ປະເທດລາວ,Laos,0,18,0,148,1,4,0,2,0
9,Việt Nam,Vietnam,0,63,0,703,1,4215,1,0,0
10,Danmark,Denmark,0,5,0,0,98,0,1,0,0
11,မြန်မာ,Myanmar,4,18,8,16,118,317,14,23,0
12,Deutschland,Germany,1,17,19,399,1208,10858,9130,6272,1460
13,Česko,Czechia,0,7,0,14,86,6255,20,13074,8
14,Schweiz/Suisse/Svizzera/Svizra,Switzerland,0,26,10,126,37,2149,235,139,0
15,België / Belgique / Belgien,Belgium,0,3,0,10,43,581,1880,118,45
16,Sverige,Sweden,0,21,0,0,290,98,509,503,3
17,Føroyar,Faroe Islands,0,6,0,0,0,117,0,0,0
18,Shqipëria,Albania,0,3,0,12,61,373,17,21,0
19,Северна Македонија,North Macedonia,0,8,0,1,80,1749,17,2,0
20,Crna Gora / Црна Гора,Montenegro,0,0,0,25,0,167,58,0,0
21,Suomi / Finland,Finland,2,0,0,19,70,309,181,872,214
22,San Marino,San Marino,0,0,0,0,0,9,2,0,0
23,Moldova,Moldova,1,37,10,2,5,285,22,2,0
24,Беларусь,Belarus,0,7,0,128,0,1291,26,22389,0
25,Brasil,Brazil,5,28,132,37,510,5606,6221,17145,89
26,Россия,Russia,8,87,43,2335,1,15359,392,3845,12
27,Україна,Ukraine,1,29,4,162,1466,463,5267,402,0
28,United Kingdom,United Kingdom,0,4,11,139,2,232,10,21166,5
29,Isle of Man,Isle of Man,0,0,0,6,0,24,0,0,0
30,Éire / Ireland,Ireland,0,0,4,26,20,98,3614,51437,0
31,Latvija,Latvia,0,0,43,0,75,258,451,111,0
32,Lietuva,Lithuania,0,10,60,507,0,4220,0,32,0
33,Eesti,Estonia,0,0,0,15,79,2,4715,84,0
34,Australia,Australia,0,15,0,556,29,0,15611,0,0
35,South Africa,South Africa,0,9,0,52,0,226,58,4245,2
36,eSwatini,Eswatini,0,4,0,53,0,0,0,0,0
37,France - Monaco,France - Monaco,0,0,0,0,0,0,0,0,0
38,România,Romania,0,42,0,0,7,3180,11,52,0
39,Ecuador,Ecuador,0,24,0,221,0,1031,106,183,5
40,México,Mexico,0,32,12,2474,136,563,103,1353,3
41,Colombia,Colombia,8,33,125,1121,99,1005,1476,271,0
42,United States,United States,0,59,5,3243,5700,23974,1194,3116,31
43,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,Mongolia,0,22,0,339,1,0,0,0,0
44,Chile,Chile,0,17,1,56,0,345,0,0,0
45,Rwanda,Rwanda,0,5,0,30,1,386,24,0,0
46,Türkiye,Turkey,7,82,1,974,53,12192,4,11,0
47,Кыргызстан,Kyrgyzstan,0,9,0,56,0,2,9,0,0
48,འབྲུགཡུལ་,Bhutan,0,20,1,205,0,965,5,0,0
49,नेपाल,Nepal,0,7,0,77,750,0,6737,11,0
50,বাংলাদেশ,Bangladesh,0,8,64,410,1,3,58,34,0
51,الأردن,Jordan,0,12,51,89,0,1,1,0,0
52,سوريا,Syria,0,14,65,275,0,16,0,109,0
53,لبنان,Lebanon,0,9,25,0,695,66,0,0,0
54,България,Bulgaria,0,28,265,35,0,1744,137,8,0
55,Ελλάς,Greece,2,8,13,74,332,438,1324,616,0
56,조선민주주의인민공화국,North Korea,0,15,1,180,36,84,0,0,0
57,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,Algeria,0,58,0,547,0,1539,0,1,0
58,تونس,Tunisia,0,24,266,2078,0,0,0,0,0
59,ليبيا,Libya,0,23,0,0,0,0,0,0,0
60,موريتانيا,Mauritania,0,15,0,9,0,0,0,0,0
61,Gambia,The Gambia,0,7,8,31,0,0,0,0,0
62,Sénégal,Senegal,0,14,46,0,127,549,14,3,0
63,Guiné-Bissau,Guinea-Bissau,4,8,0,38,0,0,0,0,0
64,Sierra Leone,Sierra Leone,0,5,15,15,0,0,0,1,0
65,Guinée,Guinea,0,8,0,17,0,23,0,394,2
66,Côte d’Ivoire,Côte d'Ivoire,0,14,31,8,34,10,26,27,0
67,Liberia,Liberia,0,15,0,141,0,31,33,101,0
68,Ghana,Ghana,0,16,0,261,0,1,0,3,0
69,Togo,Togo,0,5,0,16,1,1,5,69,0
70,Burkina Faso,Burkina Faso,0,13,45,231,0,13,0,0,0
71,Bénin,Benin,0,12,0,77,21,7,0,0,0
72,Mali,Mali,0,10,0,49,0,0,0,1,0
73,Niger,Niger,0,8,0,41,2,31,1,0,0
74,Nigeria,Nigeria,0,37,0,773,21,2777,0,0,0
75,السودان,Sudan,0,19,6,39,12,33,7,5,63
76,Ködörösêse tî Bêafrîka / République centrafricaine,Central African Republic,0,17,0,0,0,4,47,1,0
77,Guinea Ecuatorial,Equatorial Guinea,2,8,1,13,0,28,0,0,0
78,Gabon,Gabon,0,9,0,9,0,0,0,0,0
79,Congo,Congo-Brazzaville,0,12,2,54,0,4,20,9,0
80,République démocratique du Congo,Democratic Republic of the Congo,0,26,0,74,118,399,599,628,0
81,Uganda,Uganda,4,143,10,9,0,62,51,327,1
82,Kenya,Kenya,8,47,0,291,10,882,23,206,0
83,Soomaaliya الصومال,Somalia,1,6,19,89,0,0,1,0,0
84,ኢትዮጵያ,Ethiopia,0,14,83,42,0,1,0,0,0
85,Djibouti جيبوتي,Djibouti,0,6,0,9,0,2,0,0,0
86,Cameroun,Cameroon,0,10,0,58,13,360,0,64,0
87,Namibia,Namibia,0,14,1,0,0,17,0,2,0
88,Angola,Angola,0,18,1,29,8,15,0,0,0
89,Burundi,Burundi,0,18,0,28,0,7,0,0,0
90,Tanzania,Tanzania,7,31,195,0,20,1,185,170,0
91,Zambia,Zambia,0,10,116,0,0,0,1,0,0
92,Zimbabwe,Zimbabwe,0,10,0,59,0,8,0,52,0
93,Moçambique,Mozambique,3,11,161,119,0,63,0,0,0
94,Malawi,Malawi,3,27,2,0,0,0,7,0,0
95,Oʻzbekiston,Uzbekistan,1,13,1,200,0,31,0,0,0
96,Тоҷикистон,Tajikistan,0,5,0,61,12,19,0,27,0
97,Қазақстан,Kazakhstan,0,20,0,225,1,529,4,120,0
98,Hrvatska,Croatia,0,1,0,23,557,3458,255,214,0
99,Slovenija,Slovenia,0,0,0,1,11,212,0,70,0
100,Türkmenistan,Turkmenistan,0,6,0,47,2,1,2,0,0
101,Bolivia,Bolivia,1,10,1,112,2,334,104,9,59
102,Guernsey,Guernsey,0,3,0,0,0,10,2,4,0
103,中国,China,3,33,340,2882,122,16235,158,5699,129
104,Venezuela,Venezuela,0,25,1,347,1218,510,523,558,515
105,British Virgin Islands,British Virgin Islands,0,5,0,0,0,0,0,0,0
106,Argentina,Argentina,0,25,527,641,1907,1938,5103,3000,104
107,Uruguay,Uruguay,0,19,0,0,0,586,1,76,0
108,Suriname,Suriname,0,10,0,63,0,0,0,0,0
109,Guyana,Guyana,0,10,0,113,0,41,0,38,0
110,Nicaragua,Nicaragua,0,17,0,153,0,0,11,3585,8
111,Costa Rica,Costa Rica,0,7,0,84,0,494,0,384,0
112,Panamá,Panama,0,14,0,81,2,382,1,253,2
113,Honduras,Honduras,0,18,0,298,1,36,22,197,0
114,Belize,Belize,0,6,0,0,3,16,97,44,9
115,Perú,Peru,0,25,1,196,0,1887,0,1,0
116,Portugal,Portugal,0,2,0,18,308,3091,0,0,0
117,ኤርትራ Eritrea إرتريا,Eritrea,0,6,0,0,0,0,0,0,0
118,Ísland,Iceland,0,0,8,62,0,1,15,114,0
119,افغانستان,Afghanistan,0,34,397,0,53,0,0,1,0
120,India,India,0,36,783,6478,22,40,54405,2212,17
121,Indonesia,Indonesia,7,38,513,1462,3520,873,6579,6009,0
